-------------------------------------------------
Time	| Thread | Register Num	| Wr Data	|
-------------------------------------------------
7880.0 	|	00 	|	x15 		|         0 	| 
7920.0 	|	00 	|	x15 		|         8 	| 
7960.0 	|	00 	|	x15 		|         7 	| 
8000.0 	|	00 	|	x14 		|         2 	| 
8080.0 	|	00 	|	x15 		|         2 	| 
8120.0 	|	00 	|	x15 		|         8 	| 
8160.0 	|	00 	|	x14 		|   4198096 	| 
8200.0 	|	00 	|	x15 		|   4198104 	| 
8240.0 	|	00 	|	x14 		|         6 	| 
8280.0 	|	00 	|	x15 		|         2 	| 
8320.0 	|	00 	|	x15 		|         3 	| 
8360.0 	|	00 	|	x15 		|        12 	| 
8400.0 	|	00 	|	x13 		|   4198096 	| 
8440.0 	|	00 	|	x15 		|   4198108 	| 
8480.0 	|	00 	|	x15 		|         3 	| 
8560.0 	|	00 	|	x15 		|         2 	| 
8600.0 	|	00 	|	x15 		|         8 	| 
8640.0 	|	00 	|	x14 		|   4198096 	| 
8680.0 	|	00 	|	x13 		|   4198104 	| 
8720.0 	|	00 	|	x15 		|         2 	| 
8760.0 	|	00 	|	x15 		|         3 	| 
8800.0 	|	00 	|	x15 		|        12 	| 
8840.0 	|	00 	|	x14 		|   4198096 	| 
8880.0 	|	00 	|	x15 		|   4198108 	| 
8920.0 	|	00 	|	x11 		|   4198108 	| 
8960.0 	|	00 	|	x10 		|   4198104 	| 
9000.0 	|	00 	|	x 1 		|       348 	| 
9040.0 	|	00 	|	x 2 		|   4198000 	| 
9120.0 	|	00 	|	x 8 		|   4198048 	| 
9240.0 	|	00 	|	x15 		|   4198104 	| 
9280.0 	|	00 	|	x15 		|         6 	| 
9360.0 	|	00 	|	x15 		|   4198108 	| 
9400.0 	|	00 	|	x14 		|         3 	| 
9440.0 	|	00 	|	x15 		|   4198104 	| 
9520.0 	|	00 	|	x15 		|   4198108 	| 
9560.0 	|	00 	|	x14 		|         6 	| 
9680.0 	|	00 	|	x 8 		|   4198096 	| 
9720.0 	|	00 	|	x 2 		|   4198048 	| 
9800.0 	|	00 	|	x15 		|         2 	| 
9840.0 	|	00 	|	x15 		|         3 	| 
9920.0 	|	00 	|	x14 		|         8 	| 
9960.0 	|	00 	|	x15 		|         0 	| 
10000.0 	|	00 	|	x15 		|         8 	| 
10040.0 	|	00 	|	x15 		|         7 	| 
10080.0 	|	00 	|	x14 		|         3 	| 
10160.0 	|	00 	|	x15 		|         3 	| 
10200.0 	|	00 	|	x15 		|        12 	| 
10240.0 	|	00 	|	x14 		|   4198096 	| 
10280.0 	|	00 	|	x15 		|   4198108 	| 
10320.0 	|	00 	|	x14 		|         6 	| 
10360.0 	|	00 	|	x15 		|         3 	| 
10400.0 	|	00 	|	x15 		|         4 	| 
10440.0 	|	00 	|	x15 		|        16 	| 
10480.0 	|	00 	|	x13 		|   4198096 	| 
10520.0 	|	00 	|	x15 		|   4198112 	| 
